scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",81620.9316,136770.9359,131758.6045,67026.6610,148512.7787,147531.7864,139078.0329,63332.9637
"scenario_label=clustered,TOTAL_TAGS=10000",8070153.0342,11626920.7171,13151016.3564,6845412.7172,46870275.5136,14837092.1975,12602700.6777,5080875.9450
"scenario_label=clustered,TOTAL_TAGS=2000",318855.6344,500362.3232,527513.9091,270251.0025,821827.1899,590732.4816,524770.5746,194768.4259
"scenario_label=clustered,TOTAL_TAGS=3000",698470.0486,1086433.5761,1184013.5291,636822.5202,2210346.4029,1331110.9496,1157971.0052,408680.1308
"scenario_label=clustered,TOTAL_TAGS=5000",1959441.8353,2951329.3218,3296157.7260,1743213.5531,9278773.6210,3705301.7354,3174879.2853,1124150.1846
"scenario_label=clustered,TOTAL_TAGS=7000",3925575.6032,5737347.2690,6460723.8542,3378907.4926,21336271.1563,7257918.0727,6202740.8234,2300720.4567
"scenario_label=prefixed,TOTAL_TAGS=1000",81384.1586,108897.1581,130999.8041,67006.6945,146920.2109,142489.3834,64689.7495,88713.8508
"scenario_label=prefixed,TOTAL_TAGS=10000",8096611.3881,10620545.1244,13049667.3176,6830451.6356,46855273.7953,14446895.8224,6644413.3299,4715537.3531
"scenario_label=prefixed,TOTAL_TAGS=2000",318297.1443,425045.7435,522882.7925,270174.6901,819364.3623,573318.1361,260978.7299,257186.0058
"scenario_label=prefixed,TOTAL_TAGS=3000",702054.2949,955172.7387,1173686.2325,635920.7741,2192858.3876,1293239.4547,588541.8024,495318.1448
"scenario_label=prefixed,TOTAL_TAGS=5000",1968454.7657,2645033.2074,3263973.8159,1745974.3468,9299057.8186,3601488.9157,1645453.0944,1215051.9545
"scenario_label=prefixed,TOTAL_TAGS=7000",3935693.6390,5183397.5241,6398719.0278,3363819.0899,21563426.2499,7069204.7807,3237211.5848,2305304.9555
"scenario_label=random,TOTAL_TAGS=1000",82622.1316,74581.1514,111947.9545,66831.5484,147576.4172,129068.5844,90602.0382,89118.5570
"scenario_label=random,TOTAL_TAGS=10000",8200532.6128,7622776.4615,11181058.4446,6836676.7488,46658682.0066,12962791.6823,9228013.3026,5648713.6763
"scenario_label=random,TOTAL_TAGS=2000",324742.9833,299444.4654,447062.0552,269345.8486,822796.0235,516518.4674,363702.1678,282760.7775
"scenario_label=random,TOTAL_TAGS=3000",717554.8186,675764.3599,1007741.2530,635232.0149,2201689.9607,1163015.5500,822651.1939,571212.1052
"scenario_label=random,TOTAL_TAGS=5000",2008640.8610,1890518.0046,2795799.2782,1741787.9036,9284079.5848,3234421.5921,2289572.3661,1457120.5658
"scenario_label=random,TOTAL_TAGS=7000",3995288.1112,3717165.6884,5482164.9386,3373751.0711,21328277.1156,6345216.5360,4499403.9224,2784109.1432
"scenario_label=sequential,TOTAL_TAGS=1000",93268.1575,99304.1500,145452.3484,66708.2075,147252.4300,152955.5935,32699.8020,21856.0000
"scenario_label=sequential,TOTAL_TAGS=10000",4896178.5590,9046525.8630,14975346.7831,6840125.0824,46562050.4033,15463069.7300,3582575.1960,2324736.5260
"scenario_label=sequential,TOTAL_TAGS=2000",199168.1230,377465.4825,580517.5763,270463.6064,826278.5137,616137.1380,167002.2740,88256.3750
"scenario_label=sequential,TOTAL_TAGS=3000",239463.8245,834654.1860,1356050.0815,635649.0913,2196221.5514,1392127.6665,307971.9400,202996.1250
"scenario_label=sequential,TOTAL_TAGS=5000",2341112.5755,2286007.3165,3755122.6541,1742612.9625,9297831.7345,3870352.9335,1094078.7830,650227.4155
"scenario_label=sequential,TOTAL_TAGS=7000",4589903.8825,4453162.4885,7212416.8567,3367951.2007,21399704.4246,7585023.5185,2143484.5410,1270803.0555
