scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",1617.6636,2669.9812,2637.2933,1339.5009,2609.2049,2937.8655,2738.9044,1252.5501
"scenario_label=clustered,TOTAL_TAGS=10000",16126.6366,23176.6308,26295.9058,13689.5685,79731.9921,29656.5675,25145.6504,10175.3586
"scenario_label=clustered,TOTAL_TAGS=2000",3170.5747,4938.2523,5274.5683,2703.9060,7079.2253,5891.9554,5204.3332,1934.8773
"scenario_label=clustered,TOTAL_TAGS=3000",4635.8799,7173.9073,7887.8961,4240.4245,12523.6646,8859.7881,7679.8980,2711.5283
"scenario_label=clustered,TOTAL_TAGS=5000",7818.7010,11728.9133,13179.0527,6976.2213,29745.1754,14805.3226,12660.6519,4480.6813
"scenario_label=clustered,TOTAL_TAGS=7000",11184.5937,16304.5190,18456.6073,9640.0574,49930.8925,20721.6290,17680.4379,6565.7221
"scenario_label=prefixed,TOTAL_TAGS=1000",1615.3445,2122.9699,2614.5463,1339.0719,2589.5837,2838.4173,1290.2990,1746.7350
"scenario_label=prefixed,TOTAL_TAGS=10000",16174.4858,21185.4723,26104.2592,13661.1194,79655.8387,28878.2317,13277.5992,9385.6598
"scenario_label=prefixed,TOTAL_TAGS=2000",3167.5460,4197.6234,5227.0956,2700.8737,7055.4969,5720.6682,2603.1363,2518.7894
"scenario_label=prefixed,TOTAL_TAGS=3000",4660.9340,6308.6942,7820.1511,4235.0021,12449.2002,8608.2069,3921.4272,3243.1759
"scenario_label=prefixed,TOTAL_TAGS=5000",7861.7923,10530.3330,13049.6772,6987.2892,29763.3390,14391.7835,6573.2957,4807.1512
"scenario_label=prefixed,TOTAL_TAGS=7000",11222.9403,14759.9051,18284.2038,9612.5443,50287.8411,20182.8330,9247.0752,6531.8560
"scenario_label=random,TOTAL_TAGS=1000",1635.5189,1483.0872,2236.3772,1335.0011,2604.4615,2569.6723,1807.4933,1750.7370
"scenario_label=random,TOTAL_TAGS=10000",16375.5217,15221.1369,22367.6713,13665.4911,79356.6859,25910.5001,18448.4971,11249.8871
"scenario_label=random,TOTAL_TAGS=2000",3225.0400,2982.8271,4472.6683,2697.9310,7093.9422,5152.3915,3632.0079,2777.1913
"scenario_label=random,TOTAL_TAGS=3000",4763.0281,4495.6622,6715.9730,4230.6386,12479.8370,7740.0910,5476.0078,3758.4951
"scenario_label=random,TOTAL_TAGS=5000",8016.1556,7540.8806,11185.4415,6960.2216,29716.8992,12923.5742,9153.5211,5776.1263
"scenario_label=random,TOTAL_TAGS=7000",11388.1352,10599.4366,15663.6382,9624.3297,49909.0664,18114.4852,12855.8610,7897.1008
"scenario_label=sequential,TOTAL_TAGS=1000",1862.8812,1882.9137,2905.9331,1330.8101,2591.4122,3047.5300,651.0625,428.7700
"scenario_label=sequential,TOTAL_TAGS=10000",9760.6850,17994.6763,29943.3727,13687.0156,79132.3224,30901.2612,7161.8400,4609.6600
"scenario_label=sequential,TOTAL_TAGS=2000",1963.3950,3671.4125,5805.3731,2699.8509,7113.1676,6149.4762,1666.5812,867.7450
"scenario_label=sequential,TOTAL_TAGS=3000",1581.6025,5461.6313,9036.6689,4240.1353,12474.5058,9267.1213,2049.6900,1325.6200
"scenario_label=sequential,TOTAL_TAGS=5000",9358.7463,9045.6588,15016.0926,6970.2290,29740.6191,15472.4400,4373.0275,2561.3900
"scenario_label=sequential,TOTAL_TAGS=7000",13106.6975,12622.5938,20607.4439,9623.6244,50051.8124,21663.1012,6120.4550,3581.4050
