scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",3459.4600,5764.3200,2047.8400,1781.1200,4699.6600,1983.2000,1962.3400,1600.7000
"scenario_label=clustered,TOTAL_TAGS=10000",34927.2200,44731.8000,20381.0800,19928.5400,162724.4400,19928.0800,17453.6000,15581.6800
"scenario_label=clustered,TOTAL_TAGS=2000",6964.4400,10113.7200,4094.4400,3441.0400,13370.5400,3972.8400,3680.7200,2781.0000
"scenario_label=clustered,TOTAL_TAGS=3000",10180.2400,14378.1000,6116.4800,5526.8600,24119.3000,5971.8000,5405.5800,4075.2800
"scenario_label=clustered,TOTAL_TAGS=5000",16842.4400,23046.8400,10227.0800,9674.4200,59408.4200,9971.5200,8838.1400,6923.7600
"scenario_label=clustered,TOTAL_TAGS=7000",23981.0800,31720.8000,14324.5200,14043.1200,101154.1800,13933.0600,12286.8000,10153.9000
"scenario_label=prefixed,TOTAL_TAGS=1000",3464.5800,4495.0200,1834.6400,1782.5400,4654.0600,1957.7600,1720.1600,1960.4200
"scenario_label=prefixed,TOTAL_TAGS=10000",34922.0400,43438.8600,18304.5200,19858.3800,162556.8200,19956.4800,17229.4600,13790.1600
"scenario_label=prefixed,TOTAL_TAGS=2000",6947.9400,8768.7000,3666.6400,3436.2000,13316.7600,3957.0000,3442.2400,3135.4200
"scenario_label=prefixed,TOTAL_TAGS=3000",10167.7800,13111.4400,5483.2800,5521.8600,23961.5200,5957.0000,5161.1600,4288.5000
"scenario_label=prefixed,TOTAL_TAGS=5000",16857.1200,21753.5400,9150.9600,9697.7600,59439.4400,9957.0000,8599.3200,6750.3200
"scenario_label=prefixed,TOTAL_TAGS=7000",24007.2400,30350.5800,12822.3600,14007.5600,101919.2400,13957.0000,12048.9200,9424.8400
"scenario_label=random,TOTAL_TAGS=1000",3459.0600,4340.8800,1830.8800,1774.7000,4694.9000,1957.7200,1721.7800,1955.8000
"scenario_label=random,TOTAL_TAGS=10000",34892.2000,43237.2000,18304.2800,19906.9400,161902.1000,19956.4400,17231.6800,13795.2000
"scenario_label=random,TOTAL_TAGS=2000",6932.2800,8647.0200,3660.7600,3429.5800,13407.4400,3957.0000,3439.3800,3133.4000
"scenario_label=random,TOTAL_TAGS=3000",10170.3400,12958.0200,5498.8800,5516.8800,24026.6600,5957.0000,5167.3800,4293.3600
"scenario_label=random,TOTAL_TAGS=5000",16841.3200,21618.4200,9154.4800,9650.1800,59336.1800,9957.0000,8600.2800,6738.2800
"scenario_label=random,TOTAL_TAGS=7000",23968.1800,30248.5200,12820.9600,14032.6000,101110.9000,13957.0000,12044.3600,9410.0600
"scenario_label=sequential,TOTAL_TAGS=1000",2704.0000,3261.0000,1831.3200,1762.6400,4656.4200,1959.0000,1335.0000,1001.0000
"scenario_label=sequential,TOTAL_TAGS=10000",18588.0000,30261.0000,19031.9600,19913.9200,161400.0000,19905.0000,13337.0000,10631.0000
"scenario_label=sequential,TOTAL_TAGS=2000",3728.0000,6258.0000,3667.0000,3433.7800,13448.3400,3958.0000,3335.0000,2001.0000
"scenario_label=sequential,TOTAL_TAGS=3000",4290.0000,9258.0000,5716.1600,5525.0200,24016.2400,5969.0000,4002.0000,3001.0000
"scenario_label=sequential,TOTAL_TAGS=5000",13564.0000,15264.0000,9517.5600,9664.4200,59392.6800,9969.0000,8337.0000,5631.0000
"scenario_label=sequential,TOTAL_TAGS=7000",18994.0000,21258.0000,13078.3200,14029.0000,101426.9000,13958.0000,11669.0000,7879.0000
