scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",411.0539,504.6221,426.3795,125.7398,282.9897,605.8052,488.3068,164.6418
"scenario_label=clustered,TOTAL_TAGS=10000",4415.5426,4683.1344,4247.9637,1228.2616,8894.0416,6384.7693,4762.5287,1597.0936
"scenario_label=clustered,TOTAL_TAGS=2000",836.3499,962.9102,852.5565,259.9075,775.4150,1232.4663,955.6361,278.3079
"scenario_label=clustered,TOTAL_TAGS=3000",1246.1597,1418.4996,1274.4713,387.5004,1377.4759,1867.6735,1425.6855,405.5139
"scenario_label=clustered,TOTAL_TAGS=5000",2120.0192,2345.2823,2130.3272,616.3052,3300.2927,3175.5064,2375.7729,692.7021
"scenario_label=clustered,TOTAL_TAGS=7000",3050.2893,3278.3962,2984.0872,839.9099,5559.5410,4446.5841,3334.4783,1025.9987
"scenario_label=prefixed,TOTAL_TAGS=1000",319.7877,396.2141,409.6118,125.2460,280.7012,542.6543,174.5830,192.4265
"scenario_label=prefixed,TOTAL_TAGS=10000",3640.7169,4051.3871,4089.9388,1228.2856,8885.3609,6151.3091,1878.4553,1266.6548
"scenario_label=prefixed,TOTAL_TAGS=2000",657.9131,791.5700,818.9042,259.8426,772.6768,1132.3651,357.1468,295.5338
"scenario_label=prefixed,TOTAL_TAGS=3000",999.0145,1194.0580,1225.4334,387.1222,1369.1194,1737.7361,542.3679,397.2241
"scenario_label=prefixed,TOTAL_TAGS=5000",1726.6261,2002.8099,2044.6465,616.5803,3302.1706,2974.5416,918.3272,617.8523
"scenario_label=prefixed,TOTAL_TAGS=7000",2490.2082,2816.0945,2864.5906,838.9763,5599.7864,4234.6239,1299.9586,861.8682
"scenario_label=random,TOTAL_TAGS=1000",425.1143,175.2574,362.6984,125.6159,282.5711,626.1953,222.6183,169.3465
"scenario_label=random,TOTAL_TAGS=10000",5227.3125,1899.0771,3627.4807,1226.0859,8851.3409,7743.1796,2358.6299,1324.8902
"scenario_label=random,TOTAL_TAGS=2000",905.0299,358.3887,725.3731,259.7951,777.1894,1342.4877,452.7790,288.8271
"scenario_label=random,TOTAL_TAGS=3000",1401.5203,545.5433,1089.1787,387.1354,1372.5623,2093.5204,686.8136,407.6265
"scenario_label=random,TOTAL_TAGS=5000",2450.3682,925.8796,1814.0206,615.6713,3296.8545,3653.3850,1158.3092,653.0225
"scenario_label=random,TOTAL_TAGS=7000",3545.5871,1311.6036,2539.8123,839.2586,5557.1554,5263.9775,1635.3642,912.4570
"scenario_label=sequential,TOTAL_TAGS=1000",285.2400,456.6470,445.5717,126.0833,280.8738,475.8560,100.1480,49.8660
"scenario_label=sequential,TOTAL_TAGS=10000",1670.1280,4453.9870,4599.6100,1228.7021,8825.5882,4981.1940,1165.9200,706.8360
"scenario_label=sequential,TOTAL_TAGS=2000",310.7480,900.5100,890.6302,259.8064,779.3505,968.6100,252.1460,100.3780
"scenario_label=sequential,TOTAL_TAGS=3000",271.1700,1344.6770,1386.7589,387.5102,1371.9829,1473.6420,324.9400,151.8900
"scenario_label=sequential,TOTAL_TAGS=5000",1490.3240,2233.7070,2305.5176,615.9594,3299.6506,2481.5680,678.4220,387.7880
"scenario_label=sequential,TOTAL_TAGS=7000",2087.1940,3121.3990,3164.2516,839.2964,5573.4658,3476.1180,949.5660,542.3020
