scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",9.9460
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",3.5853
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",6.0148
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",1.5754
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",1.5792
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",1.5798
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",1.6443
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",1.6480
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",1.6495
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",3.6020
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",3.5824
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",3.5957
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",3.8104
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",13.7649
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",7.6047
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",1.5033
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",1.4996
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",1.5103
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",1.6022
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",1.5811
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",1.5948
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",14.0886
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",14.2832
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",14.6074
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",4.8818
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",19.4932
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",9.7561
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",1.5415
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",1.5424
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",1.5415
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",1.6467
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",1.6451
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",1.6437
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",19.4932
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",19.4932
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",19.4932
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",4.6727
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",5.2561
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",7.1732
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",1.4175
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",1.4180
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",1.4179
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",1.6391
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",1.6380
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",1.6377
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",5.2220
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",5.2911
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",5.2885
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",7.9936
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",31.7460
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",15.9490
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",1.8772
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",1.8772
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",1.8772
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",1.9712
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",1.9712
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",1.9712
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",31.7460
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",31.7460
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",31.7460
