scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",34.2432
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",54.8658
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",41.8590
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",94.4373
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",94.2545
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",94.2325
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",96.0141
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",95.8525
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",95.7776
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",54.7139
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",54.8851
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",54.7629
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",55.2683
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",31.0648
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",38.9191
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",87.7019
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",87.9725
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",87.6941
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",83.6204
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",84.7316
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",83.9026
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",30.8977
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",30.8648
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",30.6702
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",50.1246
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",29.3225
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",36.3631
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",89.2062
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",89.2241
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",89.2397
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",84.0438
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",84.0618
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",84.0178
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",29.3225
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",29.3225
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",29.3225
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",37.2164
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",33.2034
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",31.0698
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",59.5130
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",59.4980
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",59.4989
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",58.4711
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",58.4973
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",58.5005
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",33.2719
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",33.1276
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",33.1329
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",38.5908
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",26.3434
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",30.4781
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",74.2984
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",74.2984
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",74.2984
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",71.0321
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",71.0321
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",71.0321
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",26.3434
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",26.3434
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",26.3434
