scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",98.1700
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",99.5022
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",98.6401
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",128.9328
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",129.3356
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",129.5942
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",110.4964
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",110.3435
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",110.5402
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",100.3532
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",99.6285
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",100.1064
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",81.6232
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",85.4800
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",81.9193
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",97.6820
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",98.5973
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",99.5862
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",83.3308
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",82.2916
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",81.8844
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",85.5400
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",84.6400
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",83.8200
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",39.9886
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",42.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",41.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",70.2748
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",70.2832
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",70.2773
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",51.4473
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",51.4443
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",51.4413
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",42.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",42.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",42.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",130.1426
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",132.2923
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",130.5970
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",175.4060
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",175.3958
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",175.3932
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",149.5118
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",149.5064
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",149.5152
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",132.3158
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",132.2728
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",132.2758
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",34.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",35.9936
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",34.9968
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",58.9872
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",58.9872
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",58.9872
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",43.9808
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",43.9808
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",43.9808
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",35.9936
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",35.9936
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",35.9936
