scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",6.1485
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",6.5505
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",6.3149
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",9.1336
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",9.1652
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",9.1846
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",7.6303
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",7.6176
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",7.6333
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",6.6174
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",6.5607
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",6.5978
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",5.7380
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",5.7800
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",5.7000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",7.9704
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",8.0360
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",8.1736
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",6.7177
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",6.6557
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",6.5891
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",5.6800
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",5.6400
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",5.5200
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",3.9999
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",4.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",4.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",7.8329
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",7.8331
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",7.8327
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",5.8325
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",5.8339
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",5.8337
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",4.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",4.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",4.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",4.0185
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",4.2852
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",4.0744
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",7.9845
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",7.9836
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",7.9832
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",5.8731
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",5.8724
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",5.8730
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",4.2879
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",4.2825
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",4.2828
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",4.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",4.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",4.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",7.9968
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",7.9968
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",7.9968
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",5.9968
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",5.9968
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",5.9968
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",4.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",4.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",4.0000
