scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",132.4132
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",154.3680
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",140.4991
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",223.3700
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",223.5901
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",223.8267
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",206.5106
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",206.1959
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",206.3178
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",155.0671
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",154.5136
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",154.8694
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",136.8916
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",116.5448
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",120.8384
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",185.3840
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",186.5698
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",187.2803
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",166.9512
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",167.0232
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",165.7870
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",116.4377
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",115.5048
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",114.4902
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",90.1132
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",71.3225
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",77.3631
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",159.4810
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",159.5073
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",159.5171
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",135.4910
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",135.5062
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",135.4591
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",71.3225
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",71.3225
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",71.3225
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",167.3589
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",165.4957
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",161.6667
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",234.9190
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",234.8938
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",234.8921
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",207.9829
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",208.0037
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",208.0157
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",165.5878
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",165.4004
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",165.4088
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",72.5908
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",62.3370
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",65.4749
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",133.2856
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",133.2856
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",133.2856
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",115.0129
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",115.0129
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",115.0129
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",62.3370
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",62.3370
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",62.3370
