scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",1006.4200
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",2790.3200
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",1663.3000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",6347.9200
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",6332.6000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",6330.3600
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",6082.1200
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",6068.3400
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",6062.7000
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",2777.6400
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",2792.0200
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",2782.0000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",2721.4200
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",739.1800
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",1363.9400
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",6685.6000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",6715.0400
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",6647.8200
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",6296.5200
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",6396.9000
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",6329.1400
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",728.8800
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",723.7400
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",708.3200
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",2048.4400
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",513.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",1025.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",6487.5600
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",6483.4000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",6487.5200
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",6072.8400
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",6078.7600
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",6083.8800
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",513.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",513.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",513.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",2140.2200
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",1903.5000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",1394.4800
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",7054.8400
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",7052.4600
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",7052.9600
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",6101.0200
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",6105.4000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",6106.3000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",1915.5800
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",1890.6200
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",1891.6800
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",1251.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",315.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",627.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",5327.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",5327.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",5327.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",5073.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",5073.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",5073.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",315.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",315.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",315.0000
