scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",0.0000
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",0.0000
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",0.0000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",0.0000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",0.0000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",0.0000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",0.0000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",0.0000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",0.0000
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",0.0000
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",0.0000
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",0.0000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",0.0000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",0.0000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",0.0000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",0.0000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",0.0000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",0.0000
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",0.0000
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",0.0000
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",0.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",0.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",0.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",0.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",0.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",0.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",0.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",0.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",0.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",0.0000
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",0.0000
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",0.0000
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",0.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",0.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",0.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",0.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",0.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",0.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",0.0000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",0.0000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",0.0000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",0.0000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",0.0000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",0.0000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",0.0000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",0.0000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",0.0000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",0.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",0.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",0.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",0.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",0.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",0.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",0.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",0.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",0.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",0.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",0.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",0.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",0.0000
