scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",1.4600
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",1.5000
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",1.7200
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",1.4800
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",1.7000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",1.4800
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",1.1200
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",1.0000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",1.0800
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",1.5200
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",1.6800
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",1.7600
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",2.3200
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",0.0000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",0.0000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",1842.2800
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",1840.4400
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",1836.0200
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",1842.9000
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",1831.4400
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",1839.9000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",0.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",0.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",0.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",1.8800
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",0.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",0.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",1843.7600
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",1836.0800
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",1839.6800
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",1834.4400
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",1840.6200
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",1850.8000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",0.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",0.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",0.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",0.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",0.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",0.0000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",0.0000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",0.0000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",0.0000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",0.0000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",0.0000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",0.0000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",0.0000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",0.0000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",0.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",0.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",0.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",0.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",2496.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",2496.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",2496.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",2496.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",2496.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",2496.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",0.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",0.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",0.0000
