scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",10.0000
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",8.0000
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",9.0000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",4.0000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",4.0000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",4.0000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",6.0000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",6.0000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",6.0000
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",8.0000
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",8.0000
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",8.0000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",10.0000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",8.0000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",9.0000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",4.0000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",4.0000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",4.0000
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",6.0000
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",6.0000
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",6.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",8.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",8.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",8.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",10.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",8.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",9.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",4.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",4.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",4.0000
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",6.0000
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",6.0000
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",6.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",8.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",8.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",8.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",10.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",8.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",9.0000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",4.0000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",4.0000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",4.0000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",6.0000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",6.0000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",6.0000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",8.0000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",8.0000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",8.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",10.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",8.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",9.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",4.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",4.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",4.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",6.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",6.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",6.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",8.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",8.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",8.0000
