scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",26.2800
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",35.5400
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",29.0600
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",36.5200
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",36.6200
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",36.2800
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",48.7800
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",48.5200
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",48.3200
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",34.8800
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",35.4600
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",35.4000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",1023.7800
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",256.0000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",512.0000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",44.5600
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",44.3800
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",44.3200
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",113.4200
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",114.0000
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",112.9400
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",256.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",256.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",256.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",1023.7200
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",256.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",512.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",44.1400
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",44.2400
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",44.2800
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",113.1200
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",113.6400
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",113.7000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",256.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",256.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",256.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",1023.3800
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",258.3000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",512.0400
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",42.4600
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",42.3800
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",42.1600
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",110.2600
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",110.6600
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",110.5600
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",258.2200
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",258.5800
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",258.1800
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",625.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",157.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",313.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",42.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",42.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",42.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",105.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",105.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",105.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",157.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",157.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",157.0000
