scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",504.2400
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",1397.7600
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",833.3000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",3176.4200
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",3168.7600
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",3167.6400
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",3094.2000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",3086.6400
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",3084.1200
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",1391.2400
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",1398.3600
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",1393.5200
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",1697.6400
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",483.1800
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",851.9400
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",3441.1400
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",3466.1200
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",3403.5400
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",3260.6600
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",3362.4800
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",3291.8800
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",472.8800
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",467.7400
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",452.3200
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",1024.7200
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",257.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",513.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",3244.2800
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",3242.2000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",3244.2600
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",3036.9200
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",3039.8800
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",3042.4400
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",257.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",257.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",257.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",1071.7000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",953.5200
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",698.1200
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",3530.8600
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",3529.4000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",3529.6400
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",3082.4600
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",3084.4200
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",3086.0600
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",959.7400
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",947.0400
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",947.6200
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",626.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",158.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",314.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",2664.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",2664.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",2664.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",2537.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",2537.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",2537.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",158.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",158.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",158.0000
