TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,sgct_d_target,signature_slot_cap,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count,sparse_signature_groups,signature_groups_pruned,signature_marker_tag_bits,signature_collision_groups,signature_singleton_groups,max_signature_d
10000,96,random,random,"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",0.000000,True,True,4,256,formal_sgct_signature_sensitivity,167962958,2953064336,15283635.000000,597391.000000,1754152.000000,24195,7642020.828125,2071.858000,7644092.686125,10000,10000,0,7101,3555,3547,0,43206,13546,39914,39914,13546,3546,10000,0,0,0,0,0,0,4,10000,0,7.984400,0,654.294610,SGCT,0,42,,,,17101,0.584761,175.415200,59.739100,2351543.000000,235.154300,1.408252,15283.635000,3547,13546,43206,39914,3546,10000,4
10000,96,random,random,"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",0.000000,True,True,4,512,formal_sgct_signature_sensitivity,2113258359,3815998959,15166688.750000,590530.000000,1753082.000000,23931,7586109.091875,2057.601000,7588166.692875,10000,10000,0,6971,3492,3480,0,42201,13479,39857,39857,13479,3479,10000,0,0,0,0,0,0,4,10000,0,7.973800,0,659.339699,SGCT,0,44,,,,16971,0.589240,175.308200,59.053000,2343612.000000,234.361200,1.434514,15166.688750,3480,13479,42201,39857,3479,10000,4
10000,96,random,random,"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",0.000000,True,True,4,1024,formal_sgct_signature_sensitivity,2317036222,1824624998,15288151.250000,597787.000000,1754353.000000,24207,7644825.410250,2072.750500,7646898.160750,10000,10000,0,7105,3555,3551,0,43266,13550,39938,39938,13550,3550,10000,0,0,0,0,0,0,4,10000,0,7.988400,0,654.101326,SGCT,0,41,,,,17105,0.584624,175.435300,59.778700,2352140.000000,235.214000,1.407460,15288.151250,3551,13550,43266,39938,3550,10000,4
10000,96,random,random,"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",0.000000,True,True,6,256,formal_sgct_signature_sensitivity,424505657,593645890,15851186.250000,588521.000000,1495083.000000,22267,7938311.717375,1924.583500,7940236.300875,10000,10000,0,6161,3109,3053,0,178020,13052,29320,29320,13052,3052,10000,0,0,0,0,0,0,6,10000,0,5.875200,0,630.867611,SGCT,0,116,,,,16161,0.618774,149.508300,58.852100,2083604.000000,208.360400,1.623113,15851.186250,3053,13052,178020,29320,3052,10000,6
10000,96,random,random,"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",0.000000,True,True,6,512,formal_sgct_signature_sensitivity,213876859,3361628298,15862868.750000,589269.000000,1495839.000000,22277,7955183.188125,1926.457500,7957109.645625,10000,10000,0,6173,3122,3052,0,178341,13051,29344,29344,13051,3051,10000,0,0,0,0,0,0,6,10000,0,5.882800,0,630.402997,SGCT,0,111,,,,16173,0.618314,149.583900,58.926900,2085108.000000,208.510800,1.619958,15862.868750,3052,13051,178341,29344,3051,10000,6
10000,96,random,random,"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",0.000000,True,True,6,1024,formal_sgct_signature_sensitivity,3222902709,914062523,15732088.750000,581857.000000,1494466.000000,22048,7873777.116375,1910.947000,7875688.063375,10000,10000,0,6054,3058,2997,0,175116,12996,29263,29263,12996,2996,10000,0,0,0,0,0,0,6,10000,0,5.864800,0,635.643503,SGCT,0,110,,,,16054,0.622898,149.446600,58.185700,2076323.000000,207.632300,1.651800,15732.088750,2997,12996,175116,29263,2996,10000,6
10000,96,random,random,"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",0.000000,True,True,8,256,formal_sgct_signature_sensitivity,1063095114,163062000,11254018.750000,331944.000000,1322992.000000,13807,5657412.774000,1325.384000,5658738.158000,10000,10000,0,1903,952,952,257,65961,10951,21427,21427,10951,951,10000,0,0,0,0,0,0,8,10000,0,4.285400,0,888.571471,SGCT,0,262,,,,11903,0.840124,132.299200,33.194400,1654936.000000,165.493600,5.254861,11254.018750,952,10951,65961,21427,951,10000,8
10000,96,random,random,"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",0.000000,True,True,8,512,formal_sgct_signature_sensitivity,1584944545,3087768837,11245487.500000,331413.000000,1322850.000000,13786,5651855.096375,1324.251000,5653179.347375,10000,10000,0,1894,949,946,257,65871,10945,21414,21414,10945,945,10000,0,0,0,0,0,0,8,10000,0,4.283400,0,889.245575,SGCT,0,258,,,,11894,0.840760,132.285000,33.141300,1654263.000000,165.426300,5.279831,11245.487500,946,10945,65871,21414,945,10000,8
10000,96,random,random,"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",0.000000,True,True,8,1024,formal_sgct_signature_sensitivity,1888638314,1496779347,11303423.750000,335101.000000,1323779.000000,13911,5673108.973750,1332.091500,5674441.065250,10000,10000,0,1957,981,977,257,66336,10976,21474,21474,10976,976,10000,0,0,0,0,0,0,8,10000,0,4.295600,0,884.687704,SGCT,0,258,,,,11957,0.836330,132.377900,33.510100,1658880.000000,165.888000,5.109862,11303.423750,977,10976,66336,21474,976,10000,8
10000,96,random,random,"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",0.000000,True,True,10,256,formal_sgct_signature_sensitivity,4266689836,4070362891,11266460.000000,332801.000000,1323104.000000,13830,5645165.886250,1327.154000,5646493.040250,10000,10000,0,1916,960,957,257,66036,10956,21436,21436,10956,956,10000,0,0,0,0,0,0,8,10000,0,4.287800,0,887.590246,SGCT,0,258,,,,11916,0.839208,132.310400,33.280100,1655905.000000,165.590500,5.219207,11266.460000,957,10956,66036,21436,956,10000,8
