scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",502.1800
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",1392.5600
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",830.0000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",3171.5000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",3163.8400
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",3162.7200
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",2987.9200
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",2981.7000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",2978.5800
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",1386.4000
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",1393.6600
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",1388.4800
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",1023.7800
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",256.0000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",512.0000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",3244.4600
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",3248.9200
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",3244.2800
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",3035.8600
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",3034.4200
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",3037.2600
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",256.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",256.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",256.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",1023.7200
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",256.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",512.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",3243.2800
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",3241.2000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",3243.2600
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",3035.9200
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",3038.8800
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",3041.4400
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",256.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",256.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",256.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",1068.5200
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",949.9800
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",696.3600
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",3523.9800
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",3523.0600
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",3523.3200
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",3018.5600
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",3020.9800
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",3020.2400
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",955.8400
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",943.5800
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",944.0600
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",625.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",157.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",313.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",2663.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",2663.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",2663.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",2536.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",2536.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",2536.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",157.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",157.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",157.0000
