scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",501.7200
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",1392.0600
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",829.2800
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",3171.0200
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",3163.1400
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",3162.2400
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",2987.8000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",2981.7000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",2978.5000
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",1385.8800
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",1392.9800
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",1387.7200
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",1022.4600
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",257.0000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",513.0000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",1403.1800
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",1409.4800
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",1409.2600
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",1193.9600
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",1203.9800
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",1198.3600
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",257.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",257.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",257.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",1022.8400
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",257.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",513.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",1400.5200
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",1406.1200
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",1404.5800
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",1202.4800
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",1199.2600
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",1191.6400
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",257.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",257.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",257.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",1069.5200
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",950.9800
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",697.3600
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",3524.9800
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",3524.0600
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",3524.3200
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",3019.5600
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",3021.9800
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",3021.2400
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",956.8400
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",944.5800
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",945.0600
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",626.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",158.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",314.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",168.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",168.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",168.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",41.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",41.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",41.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",158.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",158.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",158.0000
