scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",127560.2600
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",41843.4000
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",66425.9200
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",37567.7800
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",37449.8000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",37436.0800
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",176379.1200
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",176080.7800
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",175781.3400
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",41750.7200
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",41857.3800
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",41778.5600
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",53861.1200
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",55536.0000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",55532.1600
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",13900.7400
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",13981.0800
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",13981.1200
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",13881.7800
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",14008.1200
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",13943.0200
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",55536.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",55536.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",55536.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",53824.1400
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",55536.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",55529.6000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",13864.8200
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",13935.2000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",13915.7600
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",13996.8600
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",13958.6400
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",13855.0600
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",55536.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",55536.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",55536.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",1038618.8400
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",65945.7000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",254909.4000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",42875.7000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",42861.9000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",42865.8000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",176101.4400
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",176235.6600
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",176145.8400
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",66033.6000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",65849.7000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",65856.9000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",399.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",99.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",199.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",9.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",9.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",9.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",24.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",24.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",24.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",99.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",99.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",99.0000
