scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",30738.6000
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",32745.0800
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",31568.8200
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",45661.1800
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",45818.5000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",45891.3000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",38044.1800
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",37982.0400
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",38059.6800
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",33080.0200
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",32796.6600
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",32981.2400
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",19993.2800
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",20000.0000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",20000.0000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",34469.2800
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",34492.9000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",34488.8000
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",24472.0000
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",24505.0400
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",24478.9200
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",20000.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",20000.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",20000.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",19994.7400
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",20000.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",20000.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",34464.7800
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",34487.2000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",34477.5400
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",24489.6000
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",24479.9400
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",24458.1200
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",20000.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",20000.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",20000.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",20089.8800
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",21423.4400
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",20371.1400
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",39916.8400
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",39912.8400
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",39910.8600
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",29302.3400
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",29299.6000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",29300.3800
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",21436.7000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",21410.2000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",21411.5800
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",20000.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",20000.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",20000.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",30000.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",30000.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",30000.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",20000.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",20000.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",20000.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",20000.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",20000.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",20000.0000
