scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",9997.0800
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",9997.0000
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",9996.5600
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",9997.0400
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",9996.6000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",9997.0400
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",9997.7600
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",9998.0000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",9997.8400
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",9996.9600
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",9996.6400
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",9996.4800
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",9993.5000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",10000.0000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",10000.0000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",5305.6800
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",5321.6800
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",5322.7600
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",5305.7200
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",5341.1400
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",5313.4800
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",10000.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",10000.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",10000.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",9995.0200
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",10000.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",10000.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",5300.2200
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",5321.5200
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",5314.2600
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",5326.9000
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",5310.6400
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",5289.7400
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",10000.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",10000.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",10000.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",10000.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",10000.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",10000.0000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",10000.0000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",10000.0000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",10000.0000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",10000.0000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",10000.0000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",10000.0000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",10000.0000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",10000.0000
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",10000.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",10000.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",10000.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",10000.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",16.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",16.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",16.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",16.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",16.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",16.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",10000.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",10000.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",10000.0000
