scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",10499.2600
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",11389.5600
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",10826.5600
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",13168.5400
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",13160.4400
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",13159.7600
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",12985.6800
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",12979.7000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",12976.4200
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",11383.3600
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",11390.3000
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",11384.9600
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",11017.2800
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",10256.0000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",10512.0000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",8550.1400
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",8570.6000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",8567.0400
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",8341.5800
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",8375.5600
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",8350.7400
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",10256.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",10256.0000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",10256.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",11018.7400
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",10256.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",10512.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",8543.5000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",8562.7200
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",8557.5200
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",8362.8200
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",8349.5200
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",8331.1800
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",10256.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",10256.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",10256.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",11068.5200
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",10949.9800
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",10696.3600
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",13523.9800
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",13523.0600
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",13523.3200
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",13018.5600
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",13020.9800
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",13020.2400
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",10955.8400
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",10943.5800
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",10944.0600
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",10625.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",10157.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",10313.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",2679.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",2679.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",2679.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",2552.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",2552.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",2552.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",10157.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",10157.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",10157.0000
