scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,total_protocol_time_ms,7871.364675,53.614328,7959.564750,14.861134,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,throughput_tags_per_sec,1270.485483,8.651495,1284.276450,2.398072,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,system_efficiency,0.908568,0.002631,0.912788,0.000729,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,collision_slots,1006.420000,31.875453,1058.850000,8.835425,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,idle_slots,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,total_energy_uj,3944535.087910,32551.574402,3989719.720087,9022.836087,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,total_bits,1324131.660000,4335.520300,1331373.550000,1201.744915,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,avg_tag_bits,98.169964,0.053270,98.264960,0.014766,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,avg_reader_bits,34.243202,0.381102,34.869245,0.105636,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,avg_total_bits,132.413166,0.433552,133.137355,0.120174,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,avg_query_efficiency,9.945993,0.315442,10.466275,0.087436,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,peak_stack_depth,26.280000,1.385641,28.550000,0.384080,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,progressive_probe_count,504.240000,16.044021,530.650000,4.447176,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,signature_grouping_trigger_count,501.720000,15.986014,528.650000,4.431097,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,sparse_signature_groups,10499.260000,16.206335,10527.100000,4.492167,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,signature_groups_pruned,127560.260000,239.610808,127963.300000,66.416727,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,signature_marker_tag_bits,30738.600000,32.471652,30795.200000,9.000683,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,signature_collision_groups,502.180000,15.843224,528.200000,4.391518,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,signature_singleton_groups,9997.080000,2.257324,10000.000000,0.625698,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,max_signature_d,10.000000,0.000000,10.000000,0.000000,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,signature_grouping_trigger_count,501.720000,15.986014,528.650000,4.431097,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,local_short_id_trigger_count,129.000000,0.000000,129.000000,0.000000,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,signature_groups_pruned,127560.260000,239.610808,127963.300000,66.416727,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,sparse_signature_groups,10499.260000,16.206335,10527.100000,4.492167,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,signature_marker_bits,30738.600000,32.471652,30795.200000,9.000683,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,signature_marker_tag_bits,30738.600000,32.471652,30795.200000,9.000683,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,signature_non_idle_marker_count,10499.260000,16.206335,10527.100000,4.492167,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,signature_collision_groups,502.180000,15.843224,528.200000,4.391518,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,signature_singleton_groups,9997.080000,2.257324,10000.000000,0.625698,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,low_d_fallback_count,1.460000,1.128662,3.000000,0.312849,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,suffix_signature_trigger_count,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,hash_short_id_round_count,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,hash_short_id_split_count,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,hash_short_id_collision_groups,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,hash_short_id_singleton_groups,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,small_cluster_guard_count,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,max_signature_d,10.000000,0.000000,10.000000,0.000000,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,epc_verification_count,10000.000000,0.000000,10000.000000,0.000000,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,verify_fail_count,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",SGCT,avg_tag_responses,6.148516,0.006473,6.159750,0.001794,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",SGCT,total_protocol_time_ms,10172.401350,95.901620,10317.960250,26.582573,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",SGCT,throughput_tags_per_sec,983.137573,9.257340,997.449944,2.566004,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",SGCT,system_efficiency,0.781857,0.003539,0.787293,0.000981,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",SGCT,collision_slots,2790.320000,57.934319,2878.650000,16.058574,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",SGCT,idle_slots,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",SGCT,total_energy_uj,5083498.060540,52971.538255,5166211.278444,14682.961293,50
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",SGCT,total_bits,1543679.640000,14205.181723,1557970.500000,3937.475487,50
