scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",0.9086
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",0.7819
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",0.8574
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",0.6117
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",0.6123
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",0.6124
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",0.6218
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",0.6223
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",0.6226
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",0.7826
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",0.7817
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",0.7824
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",0.7872
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",0.9312
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",0.8804
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",0.5999
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",0.5990
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",0.6011
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",0.6146
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",0.6111
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",0.6134
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",0.9322
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",0.9326
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",0.9340
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",0.8300
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",0.9512
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",0.9070
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",0.6065
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",0.6067
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",0.6065
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",0.6222
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",0.6219
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",0.6217
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",0.9512
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",0.9512
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",0.9512
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",0.8237
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",0.8401
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",0.8776
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",0.5863
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",0.5864
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",0.5864
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",0.6211
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",0.6209
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",0.6209
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",0.8392
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",0.8410
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",0.8409
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",0.8888
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",0.9695
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",0.9410
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",0.6524
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",0.6524
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",0.6524
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",0.6634
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",0.6634
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",0.6634
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",0.9695
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",0.9695
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",0.9695
