scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",1270.4855
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",983.1376
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",1171.5866
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",639.7534
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",640.8121
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",640.9530
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",600.0738
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",600.9511
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",601.3982
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",985.2091
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",982.8339
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",984.4869
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",1032.4380
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",1504.2278
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",1332.5476
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",731.1449
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",729.6593
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",734.0557
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",766.9709
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",758.1594
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",763.6986
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",1502.5814
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",1508.5207
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",1516.0594
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",1215.6116
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",1821.2490
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",1562.7844
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",753.8500
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",753.6737
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",753.5573
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",796.2114
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",796.0915
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",796.4886
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",1821.2490
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",1821.2490
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",1821.2490
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",560.3941
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",888.5269
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",828.8694
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",656.0248
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",656.1244
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",656.1109
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",633.6823
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",633.4757
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",633.4771
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",887.6655
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",889.4570
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",889.3887
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",1618.8099
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",2169.3574
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",1953.9021
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",921.8820
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",921.8820
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",921.8820
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",959.0229
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",959.0229
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",959.0229
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",2169.3574
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",2169.3574
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",2169.3574
