scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",1324131.6600
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",1543679.6400
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",1404990.7600
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",2233700.3600
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",2235901.4200
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",2238267.0000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",2065105.7000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",2061959.4000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",2063178.4800
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",1550671.0600
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",1545136.2200
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",1548693.5600
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",1368915.8200
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",1165448.4000
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",1208384.0000
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",1853839.5600
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",1865698.0200
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",1872803.1600
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",1669511.6400
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",1670232.4000
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",1657870.0600
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",1164377.2200
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",1155047.8000
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",1144902.3000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",901132.4200
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",713225.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",773630.9400
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",1594809.5200
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",1595073.2600
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",1595170.7000
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",1354910.2200
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",1355061.6000
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",1354591.2000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",713225.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",713225.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",713225.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",1673589.1200
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",1654957.1000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",1616667.4800
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",2349190.0600
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",2348938.0200
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",2348920.6400
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",2079829.1000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",2080036.8200
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",2080157.3400
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",1655877.6800
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",1654003.6400
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",1654087.6000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",725908.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",623370.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",654749.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",1332856.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",1332856.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",1332856.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",1150129.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",1150129.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",1150129.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",623370.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",623370.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",623370.0000
