scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",3944535.0879
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",5083498.0605
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",4271315.4554
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",7823269.6563
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",7814091.4466
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",7810521.9407
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",8329394.7111
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",8323235.4919
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",8307495.5214
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",5072853.7771
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",5084822.6593
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",5070260.6627
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",4990839.4315
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",3362375.5463
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",3828193.0037
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",6869857.4872
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",6893248.8197
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",6840353.3952
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",6567043.3794
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",6654874.2987
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",6597378.0474
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",3371436.8965
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",3357901.7800
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",3346619.3669
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",4221524.6284
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",2775034.0009
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",3254438.0479
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",6640449.2574
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",6645641.0296
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",6646131.4863
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",6291641.5844
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",6293559.8716
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",6288129.1171
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",2775442.1727
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",2775695.9748
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",2775365.8509
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",9027968.4934
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",5651563.9332
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",6087343.4314
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",7630335.8259
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",7626979.2486
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",7632304.1585
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",7900458.1792
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",7904761.6736
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",7906555.4560
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",5658415.9322
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",5645704.2471
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",5649280.0137
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",3157248.0660
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",2325443.3620
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",2595217.8300
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",5431458.7660
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",5431458.7660
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",5431458.7660
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",5225634.4040
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",5225634.4040
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",5225634.4040
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",2325443.3620
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",2325443.3620
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",2325443.3620
