scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",7871.3647
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",10172.4014
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",8535.8244
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",15631.6258
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",15605.4597
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",15602.0652
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",16665.1744
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",16640.7380
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",16628.4439
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",10151.1875
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",10175.1033
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",10158.2428
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",9766.1029
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",6664.1658
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",7546.6143
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",13722.1365
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",13766.5849
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",13658.4911
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",13111.2871
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",13285.2301
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",13171.8516
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",6680.6242
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",6656.8506
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",6632.6957
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",8226.3135
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",5490.7375
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",6398.8354
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",13265.4408
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",13268.4383
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",13270.5149
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",12559.6294
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",12561.5020
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",12555.2386
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",5490.7375
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",5490.7375
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",5490.7375
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",17844.5989
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",11254.7151
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",12064.6667
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",15243.4349
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",15241.1005
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",15241.4872
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",15780.9165
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",15786.1026
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",15786.0412
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",11265.5908
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",11242.9045
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",11243.7874
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",6177.3775
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",4609.6600
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",5117.9637
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",10847.3750
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",10847.3750
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",10847.3750
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",10427.2800
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",10427.2800
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",10427.2800
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",4609.6600
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",4609.6600
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",4609.6600
