scenario_point,SGCT
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=1024",12012.7800
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=256",15577.4400
"scenario_label=clustered,sgct_d_target=10,signature_slot_cap=512",13325.3000
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=1024",22692.9200
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=256",22662.2800
"scenario_label=clustered,sgct_d_target=4,signature_slot_cap=512",22657.8000
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=1024",22059.9600
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=256",22033.7400
"scenario_label=clustered,sgct_d_target=6,signature_slot_cap=512",22021.8600
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=1024",15552.4400
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=256",15581.3400
"scenario_label=clustered,sgct_d_target=8,signature_slot_cap=512",15560.9600
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=1024",14770.9800
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",11253.1800
"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=512",12389.9400
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",23176.5200
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",23214.8800
"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",23138.3800
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",22370.2400
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",22467.7400
"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",22405.6600
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",11242.8800
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",11237.7400
"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",11222.3200
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",14097.8800
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",11027.0000
"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",12051.0000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",22976.1200
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",22967.8000
"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",22976.0400
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",22146.6800
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",22158.5200
"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",22168.7600
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",11027.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",11027.0000
"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",11027.0000
"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",14279.2600
"scenario_label=random,sgct_d_target=10,signature_slot_cap=256",13805.4600
"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",12789.2000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=1024",24104.8000
"scenario_label=random,sgct_d_target=4,signature_slot_cap=256",24100.5800
"scenario_label=random,sgct_d_target=4,signature_slot_cap=512",24101.6000
"scenario_label=random,sgct_d_target=6,signature_slot_cap=1024",22140.1400
"scenario_label=random,sgct_d_target=6,signature_slot_cap=256",22149.3600
"scenario_label=random,sgct_d_target=6,signature_slot_cap=512",22148.7800
"scenario_label=random,sgct_d_target=8,signature_slot_cap=1024",13829.2600
"scenario_label=random,sgct_d_target=8,signature_slot_cap=256",13779.7800
"scenario_label=random,sgct_d_target=8,signature_slot_cap=512",13781.8000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=1024",12503.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=256",10631.0000
"scenario_label=sequential,sgct_d_target=10,signature_slot_cap=512",11255.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=1024",20655.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=256",20655.0000
"scenario_label=sequential,sgct_d_target=4,signature_slot_cap=512",20655.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=1024",20147.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=256",20147.0000
"scenario_label=sequential,sgct_d_target=6,signature_slot_cap=512",20147.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=1024",10631.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=256",10631.0000
"scenario_label=sequential,sgct_d_target=8,signature_slot_cap=512",10631.0000
