scenario_point,algorithm_name,gamma_B_run_mean,gamma_B_run_std,throughput_mean,avg_total_bits_mean,n,gamma_B_run_ci95,gamma_B_aggregate
scenario_label=clustered,DQTA(k_max=3),1.025576,0.069571,621.167769,608.324882,50,0.019284,1.021112
scenario_label=clustered,DRCT,0.902926,0.006738,431.400407,477.787686,50,0.001868,0.902912
scenario_label=clustered,EAQ_CBB,1.193297,0.065423,379.884230,318.938382,50,0.018134,1.191090
scenario_label=clustered,EMDT,4.250267,0.031672,731.682390,172.149744,50,0.008779,4.250267
scenario_label=clustered,HT_EEAC,0.178933,0.007457,125.751716,703.364304,50,0.002067,0.178786
scenario_label=clustered,LAPCT,0.526748,0.017237,337.185891,640.798698,50,0.004778,0.526196
scenario_label=clustered,NLHQT(n=2),0.902275,0.011074,397.289350,440.350896,50,0.003070,0.902211
scenario_label=clustered,SGCT,6.368953,0.113145,984.551545,154.618528,50,0.031362,6.367617
scenario_label=dispersed,DQTA(k_max=3),0.654379,0.208019,440.657594,701.924854,50,0.057660,0.627785
scenario_label=dispersed,DRCT,0.246931,0.107482,181.937418,778.196228,50,0.029793,0.233794
scenario_label=dispersed,EAQ_CBB,0.991502,0.185546,312.141377,320.178148,50,0.051431,0.974899
scenario_label=dispersed,EMDT,4.238583,0.032379,729.353567,172.076392,50,0.008975,4.238545
scenario_label=dispersed,HT_EEAC,0.179242,0.006648,125.871685,702.700440,50,0.001843,0.179126
scenario_label=dispersed,LAPCT,0.672911,0.039567,329.387770,491.236312,50,0.010967,0.670528
scenario_label=dispersed,NLHQT(n=2),7.878281,0.128298,1089.683514,138.348482,50,0.035562,7.876368
scenario_label=dispersed,SGCT,12.797904,1.592559,1492.423139,117.548280,50,0.441435,12.696257
scenario_label=prefix64,DQTA(k_max=3),1.814508,0.013380,621.479709,342.511278,50,0.003709,1.814480
scenario_label=prefix64,DRCT,0.885130,0.006732,432.221346,488.321342,50,0.001866,0.885117
scenario_label=prefix64,EAQ_CBB,1.455272,0.008074,365.314057,251.031778,50,0.002238,1.455250
scenario_label=prefix64,EMDT,4.243408,0.035936,730.600821,172.174964,50,0.009961,4.243363
scenario_label=prefix64,HT_EEAC,0.178390,0.006940,125.560952,704.359532,50,0.001924,0.178263
scenario_label=prefix64,LAPCT,0.702119,0.000424,334.810690,476.857856,50,0.000117,0.702118
scenario_label=prefix64,NLHQT(n=2),5.902604,0.024868,866.016145,146.718516,50,0.006893,5.902569
scenario_label=prefix64,SGCT,10.109247,0.124534,1144.789421,113.248284,50,0.034519,10.108669
