Diagnostic,mean,ci95,max_p95,scenario_count
local_short_id_trigger_count,209.000000,0.000000,257.000000,8
low_d_fallback_count,30.682500,0.601503,261.650000,8
max_signature_d,8.000000,0.000000,8.000000,8
progressive_probe_count,759.090000,7.862801,1437.100000,8
signature_collision_groups,730.595000,3.976055,1433.000000,8
signature_grouping_trigger_count,700.912500,3.934894,1432.550000,8
signature_groups_pruned,51641.460000,58.867815,66495.750000,8
signature_singleton_groups,9938.545000,1.202952,10000.000000,8
sparse_signature_groups,10669.140000,4.233443,11430.550000,8
suffix_signature_trigger_count,0.000000,0.000000,0.000000,8
