scenario_label,ber,time_ms_mean,time_ms_sd,bits_per_tag_mean,efficiency_mean,n
clustered,0.000000,10166.953775,90.870545,154.818952,0.782056,50
clustered,0.000010,10173.211975,91.773230,154.628050,0.781715,50
clustered,0.000100,10185.202375,80.825959,154.856532,0.780511,50
clustered,0.001000,10355.057050,80.211860,156.867818,0.766656,50
dispersed,0.000000,6693.214650,477.434405,117.038320,0.933084,50
dispersed,0.000010,7780.939550,1145.126523,129.416466,0.857673,50
dispersed,0.000100,8081.110650,1110.178669,139.807486,0.829790,50
dispersed,0.001000,9799.024075,1486.608532,167.905726,0.746543,50
prefix80,0.000000,5490.737500,0.000000,71.322500,0.951203,50
prefix80,0.000010,5491.218200,0.535476,71.326148,0.951134,50
prefix80,0.000100,5496.025200,1.810573,71.362628,0.950448,50
prefix80,0.001000,5542.551900,5.223299,71.715716,0.943849,50
random,0.000000,11247.458100,42.366728,165.438242,0.840661,50
random,0.000010,11263.213650,44.360514,165.599242,0.839572,50
random,0.000100,11345.435175,38.257060,166.547696,0.834570,50
random,0.001000,12261.576775,57.245973,176.861978,0.781359,50
sequential,0.000000,4609.660000,0.000000,62.337000,0.969462,50
sequential,0.000010,4610.156000,0.574008,62.340680,0.969387,50
sequential,0.000100,4613.082400,1.514753,62.362392,0.968943,50
sequential,0.001000,4646.152450,4.890175,62.607744,0.963962,50
