scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
scenario_label=clustered,DQTA(k_max=3),avg_total_bits,608.324882,11.120108,653.443960,50,608.3249 +/- 11.1201
scenario_label=clustered,DRCT,avg_total_bits,477.787686,0.269368,479.375080,50,477.7877 +/- 0.2694
scenario_label=clustered,EAQ_CBB,avg_total_bits,318.938382,3.055734,339.707745,50,318.9384 +/- 3.0557
scenario_label=clustered,EMDT,avg_total_bits,172.149744,0.156616,172.972080,50,172.1497 +/- 0.1566
scenario_label=clustered,HT_EEAC,avg_total_bits,703.364304,3.913520,722.728630,50,703.3643 +/- 3.9135
scenario_label=clustered,LAPCT,avg_total_bits,640.798698,5.806794,678.094630,50,640.7987 +/- 5.8068
scenario_label=clustered,NLHQT(n=2),avg_total_bits,440.350896,0.732670,442.665960,50,440.3509 +/- 0.7327
scenario_label=clustered,SGCT,avg_total_bits,154.618528,0.570165,160.490195,50,154.6185 +/- 0.5702
scenario_label=clustered,DQTA(k_max=3),system_efficiency,0.330893,0.000614,0.333435,50,0.3309 +/- 0.0006
scenario_label=clustered,DRCT,system_efficiency,0.335264,0.000522,0.338626,50,0.3353 +/- 0.0005
scenario_label=clustered,EAQ_CBB,system_efficiency,0.490253,0.004294,0.518133,50,0.4903 +/- 0.0043
scenario_label=clustered,EMDT,system_efficiency,0.502911,0.001776,0.514130,50,0.5029 +/- 0.0018
scenario_label=clustered,HT_EEAC,system_efficiency,0.061628,0.000393,0.063978,50,0.0616 +/- 0.0004
scenario_label=clustered,LAPCT,system_efficiency,0.497975,0.000066,0.498380,50,0.4980 +/- 0.0001
scenario_label=clustered,NLHQT(n=2),system_efficiency,0.348793,0.000264,0.350182,50,0.3488 +/- 0.0003
scenario_label=clustered,SGCT,system_efficiency,0.782402,0.000837,0.787234,50,0.7824 +/- 0.0008
scenario_label=clustered,DQTA(k_max=3),throughput_tags_per_sec,621.167769,0.942811,626.089333,50,621.1678 +/- 0.9428
scenario_label=clustered,DRCT,throughput_tags_per_sec,431.400407,0.649466,435.676227,50,431.4004 +/- 0.6495
scenario_label=clustered,EAQ_CBB,throughput_tags_per_sec,379.884230,2.141466,393.544291,50,379.8842 +/- 2.1415
scenario_label=clustered,EMDT,throughput_tags_per_sec,731.682390,1.647395,741.322219,50,731.6824 +/- 1.6474
scenario_label=clustered,HT_EEAC,throughput_tags_per_sec,125.751716,0.747722,130.255232,50,125.7517 +/- 0.7477
scenario_label=clustered,LAPCT,throughput_tags_per_sec,337.185891,0.034052,337.340296,50,337.1859 +/- 0.0341
scenario_label=clustered,NLHQT(n=2),throughput_tags_per_sec,397.289350,0.689285,402.906812,50,397.2894 +/- 0.6893
scenario_label=clustered,SGCT,throughput_tags_per_sec,984.551545,2.208803,997.198478,50,984.5515 +/- 2.2088
scenario_label=clustered,DQTA(k_max=3),total_bits,6083248.820000,111201.083016,6534439.600000,50,6083248.8200 +/- 111201.0830
scenario_label=clustered,DRCT,total_bits,4777876.860000,2693.676387,4793750.800000,50,4777876.8600 +/- 2693.6764
scenario_label=clustered,EAQ_CBB,total_bits,3189383.820000,30557.341440,3397077.450000,50,3189383.8200 +/- 30557.3414
scenario_label=clustered,EMDT,total_bits,1721497.440000,1566.155760,1729720.800000,50,1721497.4400 +/- 1566.1558
scenario_label=clustered,HT_EEAC,total_bits,7033643.040000,39135.203644,7227286.300000,50,7033643.0400 +/- 39135.2036
scenario_label=clustered,LAPCT,total_bits,6407986.980000,58067.937019,6780946.300000,50,6407986.9800 +/- 58067.9370
scenario_label=clustered,NLHQT(n=2),total_bits,4403508.960000,7326.699792,4426659.600000,50,4403508.9600 +/- 7326.6998
scenario_label=clustered,SGCT,total_bits,1546185.280000,5701.647578,1604901.950000,50,1546185.2800 +/- 5701.6476
scenario_label=clustered,DQTA(k_max=3),total_energy_uj,8063556.540230,13414.919520,8129208.983412,50,8063556.5402 +/- 13414.9195
scenario_label=clustered,DRCT,total_energy_uj,11645217.055443,22238.510170,11758340.203881,50,11645217.0554 +/- 22238.5102
scenario_label=clustered,EAQ_CBB,total_energy_uj,13171080.846125,75348.600100,13692841.337506,50,13171080.8461 +/- 75348.6001
scenario_label=clustered,EMDT,total_energy_uj,6831971.983060,17129.880369,6930991.914725,50,6831971.9831 +/- 17129.8804
scenario_label=clustered,HT_EEAC,total_energy_uj,46849423.673491,309896.064520,48484522.625535,50,46849423.6735 +/- 309896.0645
scenario_label=clustered,LAPCT,total_energy_uj,14844307.773355,2066.582988,14857494.733950,50,14844307.7734 +/- 2066.5830
scenario_label=clustered,NLHQT(n=2),total_energy_uj,12618562.318720,22953.892321,12715793.378737,50,12618562.3187 +/- 22953.8923
scenario_label=clustered,SGCT,total_energy_uj,5073445.732270,12316.816317,5143418.519512,50,5073445.7323 +/- 12316.8163
scenario_label=clustered,DQTA(k_max=3),total_protocol_time_ms,16099.183125,24.420409,16258.816375,50,16099.1831 +/- 24.4204
scenario_label=clustered,DRCT,total_protocol_time_ms,23180.990725,34.868057,23384.848187,50,23180.9907 +/- 34.8681
scenario_label=clustered,EAQ_CBB,total_protocol_time_ms,26334.454025,148.099863,27370.462312,50,26334.4540 +/- 148.0999
scenario_label=clustered,EMDT,total_protocol_time_ms,13668.018100,30.848146,13848.311375,50,13668.0181 +/- 30.8481
scenario_label=clustered,HT_EEAC,total_protocol_time_ms,79557.504600,471.200550,81874.704375,50,79557.5046 +/- 471.2006
scenario_label=clustered,LAPCT,total_protocol_time_ms,29657.235250,2.995150,29677.467187,50,29657.2353 +/- 2.9952
scenario_label=clustered,NLHQT(n=2),total_protocol_time_ms,25171.530200,43.321732,25358.422250,50,25171.5302 +/- 43.3217
scenario_label=clustered,SGCT,total_protocol_time_ms,10157.559700,22.756098,10276.389812,50,10157.5597 +/- 22.7561
scenario_label=dispersed,DQTA(k_max=3),avg_total_bits,701.924854,29.014824,839.951170,50,701.9249 +/- 29.0148
