scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
scenario_label=clustered,SGCT,local_short_id_trigger_count,129.000000,0.000000,129.000000,50,129.0000 +/- 0.0000
scenario_label=clustered,SGCT,low_d_fallback_count,1.640000,0.382935,4.000000,50,1.6400 +/- 0.3829
scenario_label=clustered,SGCT,max_signature_d,8.000000,0.000000,8.000000,50,8.0000 +/- 0.0000
scenario_label=clustered,SGCT,progressive_probe_count,1395.760000,6.900182,1437.100000,50,1395.7600 +/- 6.9002
scenario_label=clustered,SGCT,signature_collision_groups,1390.860000,6.893236,1433.000000,50,1390.8600 +/- 6.8932
scenario_label=clustered,SGCT,signature_grouping_trigger_count,1390.220000,6.857952,1432.550000,50,1390.2200 +/- 6.8580
scenario_label=clustered,SGCT,signature_groups_pruned,41815.940000,102.894669,42450.250000,50,41815.9400 +/- 102.8947
scenario_label=clustered,SGCT,signature_singleton_groups,9996.720000,0.765870,10000.000000,50,9996.7200 +/- 0.7659
scenario_label=clustered,SGCT,sparse_signature_groups,11387.580000,6.843945,11430.550000,50,11387.5800 +/- 6.8439
scenario_label=clustered,SGCT,suffix_signature_trigger_count,0.000000,0.000000,0.000000,50,0.0000 +/- 0.0000
scenario_label=dispersed,SGCT,local_short_id_trigger_count,257.000000,0.000000,257.000000,50,257.0000 +/- 0.0000
scenario_label=dispersed,SGCT,low_d_fallback_count,0.000000,0.000000,0.000000,50,0.0000 +/- 0.0000
scenario_label=dispersed,SGCT,max_signature_d,8.000000,0.000000,8.000000,50,8.0000 +/- 0.0000
scenario_label=dispersed,SGCT,progressive_probe_count,467.800000,31.019855,514.000000,50,467.8000 +/- 31.0199
scenario_label=dispersed,SGCT,signature_collision_groups,256.000000,0.000000,256.000000,50,256.0000 +/- 0.0000
scenario_label=dispersed,SGCT,signature_grouping_trigger_count,257.000000,0.000000,257.000000,50,257.0000 +/- 0.0000
scenario_label=dispersed,SGCT,signature_groups_pruned,55536.000000,0.000000,55536.000000,50,55536.0000 +/- 0.0000
scenario_label=dispersed,SGCT,signature_singleton_groups,10000.000000,0.000000,10000.000000,50,10000.0000 +/- 0.0000
scenario_label=dispersed,SGCT,sparse_signature_groups,10256.000000,0.000000,10256.000000,50,10256.0000 +/- 0.0000
scenario_label=dispersed,SGCT,suffix_signature_trigger_count,0.000000,0.000000,0.000000,50,0.0000 +/- 0.0000
scenario_label=prefix64,SGCT,local_short_id_trigger_count,257.000000,0.000000,257.000000,50,257.0000 +/- 0.0000
scenario_label=prefix64,SGCT,low_d_fallback_count,7.220000,0.585434,10.550000,50,7.2200 +/- 0.5854
scenario_label=prefix64,SGCT,max_signature_d,8.000000,0.000000,8.000000,50,8.0000 +/- 0.0000
scenario_label=prefix64,SGCT,progressive_probe_count,950.560000,6.222847,990.100000,50,950.5600 +/- 6.2228
scenario_label=prefix64,SGCT,signature_collision_groups,949.560000,6.222847,989.100000,50,949.5600 +/- 6.2228
scenario_label=prefix64,SGCT,signature_grouping_trigger_count,943.340000,6.212621,981.550000,50,943.3400 +/- 6.2126
scenario_label=prefix64,SGCT,signature_groups_pruned,65838.320000,93.173810,66412.800000,50,65838.3200 +/- 93.1738
scenario_label=prefix64,SGCT,signature_singleton_groups,9985.560000,1.170869,9991.100000,50,9985.5600 +/- 1.1709
scenario_label=prefix64,SGCT,sparse_signature_groups,10935.120000,6.257393,10972.550000,50,10935.1200 +/- 6.2574
scenario_label=prefix64,SGCT,suffix_signature_trigger_count,0.000000,0.000000,0.000000,50,0.0000 +/- 0.0000
scenario_label=prefix72,SGCT,local_short_id_trigger_count,257.000000,0.000000,257.000000,50,257.0000 +/- 0.0000
scenario_label=prefix72,SGCT,low_d_fallback_count,236.600000,3.843657,261.650000,50,236.6000 +/- 3.8437
scenario_label=prefix72,SGCT,max_signature_d,8.000000,0.000000,8.000000,50,8.0000 +/- 0.0000
scenario_label=prefix72,SGCT,progressive_probe_count,940.160000,4.872759,965.950000,50,940.1600 +/- 4.8728
scenario_label=prefix72,SGCT,signature_collision_groups,939.160000,4.872759,964.950000,50,939.1600 +/- 4.8728
scenario_label=prefix72,SGCT,signature_grouping_trigger_count,703.560000,4.588980,724.200000,50,703.5600 +/- 4.5890
scenario_label=prefix72,SGCT,signature_groups_pruned,62471.720000,67.580099,62783.200000,50,62471.7200 +/- 67.5801
