scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
scenario_label=clustered,SGCT,avg_total_bits,154.566936,0.481204,159.525410,50,154.5669 +/- 0.4812
scenario_label=clustered,SGCT(d10),avg_total_bits,133.438910,0.271152,133.788825,50,133.4389 +/- 0.2712
scenario_label=clustered,SGCT(d4),avg_total_bits,222.995934,1.444013,231.211100,50,222.9959 +/- 1.4440
scenario_label=clustered,SGCT(d6),avg_total_bits,206.664374,1.099105,212.494410,50,206.6644 +/- 1.0991
scenario_label=clustered,SGCT(d8),avg_total_bits,154.852716,0.616470,160.451330,50,154.8527 +/- 0.6165
scenario_label=clustered,SGCT(no_local_short_id),avg_total_bits,274.504716,2.393565,297.478320,50,274.5047 +/- 2.3936
scenario_label=clustered,SGCT(no_low_d_fallback),avg_total_bits,154.866204,0.616372,160.456055,50,154.8662 +/- 0.6164
scenario_label=clustered,SGCT(no_signature_grouping),avg_total_bits,171.587980,0.635579,177.215610,50,171.5880 +/- 0.6356
scenario_label=clustered,SGCT(no_suffix_extension),avg_total_bits,154.852716,0.616470,160.451330,50,154.8527 +/- 0.6165
scenario_label=clustered,SGCT,system_efficiency,0.782079,0.000842,0.786225,50,0.7821 +/- 0.0008
scenario_label=clustered,SGCT(d10),system_efficiency,0.890681,0.000451,0.892865,50,0.8907 +/- 0.0005
scenario_label=clustered,SGCT(d4),system_efficiency,0.612090,0.000526,0.614936,50,0.6121 +/- 0.0005
scenario_label=clustered,SGCT(d6),system_efficiency,0.622525,0.000525,0.625463,50,0.6225 +/- 0.0005
scenario_label=clustered,SGCT(d8),system_efficiency,0.781917,0.000906,0.787250,50,0.7819 +/- 0.0009
scenario_label=clustered,SGCT(no_local_short_id),system_efficiency,0.781917,0.000906,0.787250,50,0.7819 +/- 0.0009
scenario_label=clustered,SGCT(no_low_d_fallback),system_efficiency,0.781917,0.000906,0.787250,50,0.7819 +/- 0.0009
scenario_label=clustered,SGCT(no_signature_grouping),system_efficiency,0.183070,0.000421,0.185517,50,0.1831 +/- 0.0004
scenario_label=clustered,SGCT(no_suffix_extension),system_efficiency,0.781917,0.000906,0.787250,50,0.7819 +/- 0.0009
scenario_label=clustered,SGCT,throughput_tags_per_sec,983.742268,2.200561,994.587223,50,983.7423 +/- 2.2006
scenario_label=clustered,SGCT(d10),throughput_tags_per_sec,929.602508,0.933205,934.197544,50,929.6025 +/- 0.9332
scenario_label=clustered,SGCT(d4),throughput_tags_per_sec,640.435905,0.971073,645.777644,50,640.4359 +/- 0.9711
scenario_label=clustered,SGCT(d6),throughput_tags_per_sec,601.326218,0.915554,606.397655,50,601.3262 +/- 0.9156
scenario_label=clustered,SGCT(d8),throughput_tags_per_sec,983.277041,2.376891,997.419905,50,983.2770 +/- 2.3769
scenario_label=clustered,SGCT(no_local_short_id),throughput_tags_per_sec,966.147355,2.380837,980.296145,50,966.1474 +/- 2.3808
scenario_label=clustered,SGCT(no_low_d_fallback),throughput_tags_per_sec,983.100007,2.380979,997.289782,50,983.1000 +/- 2.3810
scenario_label=clustered,SGCT(no_signature_grouping),throughput_tags_per_sec,672.203450,1.673684,682.082647,50,672.2034 +/- 1.6737
scenario_label=clustered,SGCT(no_suffix_extension),throughput_tags_per_sec,983.277041,2.376891,997.419905,50,983.2770 +/- 2.3769
scenario_label=clustered,SGCT,total_bits,1545669.360000,4812.038604,1595254.100000,50,1545669.3600 +/- 4812.0386
scenario_label=clustered,SGCT(d10),total_bits,1334389.100000,2711.515215,1337888.250000,50,1334389.1000 +/- 2711.5152
scenario_label=clustered,SGCT(d4),total_bits,2229959.340000,14440.125870,2312111.000000,50,2229959.3400 +/- 14440.1259
scenario_label=clustered,SGCT(d6),total_bits,2066643.740000,10991.046414,2124944.100000,50,2066643.7400 +/- 10991.0464
scenario_label=clustered,SGCT(d8),total_bits,1548527.160000,6164.695442,1604513.300000,50,1548527.1600 +/- 6164.6954
scenario_label=clustered,SGCT(no_local_short_id),total_bits,2745047.160000,23935.645984,2974783.200000,50,2745047.1600 +/- 23935.6460
scenario_label=clustered,SGCT(no_low_d_fallback),total_bits,1548662.040000,6163.717159,1604560.550000,50,1548662.0400 +/- 6163.7172
scenario_label=clustered,SGCT(no_signature_grouping),total_bits,1715879.800000,6355.786075,1772156.100000,50,1715879.8000 +/- 6355.7861
scenario_label=clustered,SGCT(no_suffix_extension),total_bits,1548527.160000,6164.695442,1604513.300000,50,1548527.1600 +/- 6164.6954
scenario_label=clustered,SGCT,total_energy_uj,5072153.188375,14175.703035,5157786.417606,50,5072153.1884 +/- 14175.7030
scenario_label=clustered,SGCT(d10),total_energy_uj,5394810.735655,6018.452473,5430148.466444,50,5394810.7357 +/- 6018.4525
scenario_label=clustered,SGCT(d4),total_energy_uj,7816628.164803,11847.445268,7890975.342069,50,7816628.1648 +/- 11847.4453
scenario_label=clustered,SGCT(d6),total_energy_uj,8316687.062093,14828.536503,8407839.703569,50,8316687.0621 +/- 14828.5365
scenario_label=clustered,SGCT(d8),total_energy_uj,5082289.308810,12912.994171,5153884.370212,50,5082289.3088 +/- 12912.9942
scenario_label=clustered,SGCT(no_local_short_id),total_energy_uj,5176594.077835,13391.960496,5250703.494225,50,5176594.0778 +/- 13391.9605
