scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),avg_total_bits,604.784534,9.472311,651.928485,50,604.7845 +/- 9.4723
"scenario_label=clustered,ber=0.0",DRCT,avg_total_bits,477.604978,0.284276,479.226230,50,477.6050 +/- 0.2843
"scenario_label=clustered,ber=0.0",EMDT,avg_total_bits,172.005372,0.170571,172.971460,50,172.0054 +/- 0.1706
"scenario_label=clustered,ber=0.0",LAPCT,avg_total_bits,641.603586,6.501503,689.047015,50,641.6036 +/- 6.5015
"scenario_label=clustered,ber=0.0",NLHQT(n=2),avg_total_bits,439.832218,0.647084,442.329310,50,439.8322 +/- 0.6471
"scenario_label=clustered,ber=0.0",SGCT,avg_total_bits,154.818952,0.633033,160.789655,50,154.8190 +/- 0.6330
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),system_efficiency,0.330644,0.000553,0.333803,50,0.3306 +/- 0.0006
"scenario_label=clustered,ber=0.0",DRCT,system_efficiency,0.335633,0.000555,0.338692,50,0.3356 +/- 0.0006
"scenario_label=clustered,ber=0.0",EMDT,system_efficiency,0.502015,0.001610,0.509958,50,0.5020 +/- 0.0016
"scenario_label=clustered,ber=0.0",LAPCT,system_efficiency,0.498019,0.000069,0.498449,50,0.4980 +/- 0.0001
"scenario_label=clustered,ber=0.0",NLHQT(n=2),system_efficiency,0.348752,0.000274,0.350114,50,0.3488 +/- 0.0003
"scenario_label=clustered,ber=0.0",SGCT,system_efficiency,0.782056,0.000932,0.786711,50,0.7821 +/- 0.0009
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),throughput_tags_per_sec,620.723660,0.894934,625.618128,50,620.7237 +/- 0.8949
"scenario_label=clustered,ber=0.0",DRCT,throughput_tags_per_sec,431.847440,0.693044,435.608180,50,431.8474 +/- 0.6930
"scenario_label=clustered,ber=0.0",EMDT,throughput_tags_per_sec,731.594479,1.545077,740.494387,50,731.5945 +/- 1.5451
"scenario_label=clustered,ber=0.0",LAPCT,throughput_tags_per_sec,337.173828,0.036216,337.341019,50,337.1738 +/- 0.0362
"scenario_label=clustered,ber=0.0",NLHQT(n=2),throughput_tags_per_sec,397.711304,0.618456,402.429159,50,397.7113 +/- 0.6185
"scenario_label=clustered,ber=0.0",SGCT,throughput_tags_per_sec,983.655678,2.433580,995.716731,50,983.6557 +/- 2.4336
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),total_bits,6047845.340000,94723.107598,6519284.850000,50,6047845.3400 +/- 94723.1076
"scenario_label=clustered,ber=0.0",DRCT,total_bits,4776049.780000,2842.762536,4792262.300000,50,4776049.7800 +/- 2842.7625
"scenario_label=clustered,ber=0.0",EMDT,total_bits,1720053.720000,1705.707279,1729714.600000,50,1720053.7200 +/- 1705.7073
"scenario_label=clustered,ber=0.0",LAPCT,total_bits,6416035.860000,65015.026838,6890470.150000,50,6416035.8600 +/- 65015.0268
"scenario_label=clustered,ber=0.0",NLHQT(n=2),total_bits,4398322.180000,6470.840729,4423293.100000,50,4398322.1800 +/- 6470.8407
